T,u,v
5062.72020650,0.21078696,0.32249952
5113.34740856,0.21028947,0.32199899
5164.48088265,0.20979983,0.32149938
5216.12569147,0.20931793,0.32100078
5268.28694839,0.20884368,0.32050328
5320.96981787,0.20837697,0.32000695
5374.17951605,0.20791772,0.31951186
5427.92131121,0.20746581,0.31901811
5482.20052432,0.20702117,0.31852575
5537.02252957,0.20658369,0.31803488
5592.39275486,0.20615327,0.31754554
5648.31668241,0.20572983,0.31705782
5704.79984924,0.20531326,0.31657179
5761.84784773,0.20490348,0.31608751
5819.46632621,0.20450039,0.31560504
5877.66098947,0.20410390,0.31512446
5936.43759936,0.20371392,0.31464581
5995.80197536,0.20333035,0.31416917
6055.75999511,0.20295311,0.31369459
6116.31759506,0.20258210,0.31322213
6177.48077101,0.20221724,0.31275184
6239.25557872,0.20185844,0.31228378
6301.64813451,0.20150561,0.31181800
6364.66461585,0.20115866,0.31135455
6428.31126201,0.20081751,0.31089348
6492.59437463,0.20048207,0.31043483
6557.52031838,0.20015226,0.30997866
6623.09552156,0.19982798,0.30952500
6689.32647678,0.19950917,0.30907390
6756.21974155,0.19919573,0.30862541
6823.78193896,0.19888759,0.30817955
6892.01975835,0.19858465,0.30773636
6960.93995593,0.19828685,0.30729589
7030.54935549,0.19799410,0.30685817
7100.85484905,0.19770633,0.30642323
